,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
931,6331,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,31,-7552.3950195312,27.931968689,7553.8251953125,7524.4682617188,29.3584461212,0.6541,0.6422,0.5482,0.54,0.6456200000000001,0.23148000000000002,0.0448484823,0.09299501310000001,0.0554955278,0.019080000000000003,0.7512972502,0.7034682301,0.6856820899
932,6332,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,32,-7552.7573242188,27.460483551,7554.177734375,7525.2973632812,28.8754425049,0.6751,0.6678000000000001,0.5468000000000001,0.5458000000000001,0.6443,0.24112000000000003,0.0656772814,0.12478902900000001,0.0487435518,0.026240000000000003,0.6901490283,0.7087465045,0.6912057527000001
933,6333,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,33,-7553.6635742188,28.0155220032,7555.0927734375,7525.6474609375,29.4495868683,0.6511,0.6526000000000001,0.5183,0.5114000000000001,0.6377200000000001,0.2222,0.051395420600000005,0.0971473189,0.0379953154,0.025,0.7953239132000001,0.7090485982,0.6915740519
934,6334,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,34,-7548.3413085938,28.0115585327,7549.7543945312,7520.33203125,29.426990509,0.6952,0.6898000000000001,0.5924,0.5928,0.6523800000000001,0.2788,0.08046642820000001,0.1961041509,0.084011693,0.03764,0.7216557237,0.7055422368,0.6881184013
935,6335,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,35,-7554.8071289062,27.741350174,7556.2548828125,7527.0634765625,29.1877288818,0.6516000000000001,0.6528,0.5386000000000001,0.5328,0.6339800000000001,0.22884000000000002,0.0555016392,0.11402938680000001,0.0411403172,0.02576,0.7812408705,0.7039607601,0.6865344269
936,6336,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,36,-7554.54296875,27.9046096802,7555.9741210938,7526.6401367188,29.3365783691,0.6846,0.6762,0.5902000000000001,0.587,0.64734,0.24208000000000002,0.066962467,0.11621538590000001,0.08250195440000001,0.030240000000000003,0.7290589069000001,0.7095725354,0.6926208202
937,6337,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,37,-7551.9497070312,27.9863834381,7553.3842773438,7523.9643554688,29.4204273224,0.6649,0.6512,0.5649000000000001,0.5634,0.65188,0.24552000000000002,0.07023912360000001,0.1320512664,0.09229477080000001,0.0146,0.6985204488,0.7060659683,0.6885819619
938,6338,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,38,-7559.8803710938,27.7110767365,7561.3081054688,7532.1689453125,29.1401920319,0.6613,0.6626000000000001,0.5717,0.5688,0.6475200000000001,0.24348000000000003,0.0639435289,0.12540534050000002,0.0713594998,0.02424,0.7405723425,0.7041391387,0.6866571652
939,6339,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,39,-7558.609375,28.0439987183,7560.0390625,7530.5600585938,29.4768104553,0.5749000000000001,0.5616,0.4343,0.426,0.6316200000000001,0.20500000000000002,0.0269829582,0.051458541600000005,0.0213694162,0.01592,0.8443683358,0.7061242929,0.6887861505
940,6340,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,40,-7555.673828125,28.0275745392,7557.0981445312,7527.6484375,29.4552135468,0.5856,0.5806,0.4368,0.42460000000000003,0.6459600000000001,0.23568000000000003,0.041686859300000004,0.0987055963,0.0302018316,0.02048,0.6947217836,0.7097284059000001,0.6925423663
941,6341,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,41,-7556.2109375,27.5816192627,7557.6357421875,7528.625,29.0043754578,0.667,0.667,0.5732,0.5726,0.6504800000000001,0.25232000000000004,0.09102669640000001,0.130041377,0.1133396181,0.01912,0.7158007157,0.7116384586000001,0.694748188
942,6342,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,42,-7551.6997070312,27.9286327362,7553.1293945312,7523.7729492188,29.3537845612,0.6846,0.672,0.5663,0.5718,0.6461800000000001,0.24604,0.068718966,0.1303657108,0.0587885556,0.016960000000000003,0.7204367194,0.7135574338,0.6961426489
943,6343,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,43,-7551.142578125,28.1028728485,7552.5698242188,7523.0385742188,29.529586792,0.6337,0.6192000000000001,0.5543,0.5472,0.6448200000000001,0.21888000000000002,0.0464991674,0.0638208408,0.0495620629,0.01264,0.7660591549,0.707272035,0.6897091583
944,6344,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,44,-7555.1474609375,27.7129878998,7556.5600585938,7527.4340820312,29.1302337646,0.647,0.6398,0.5441,0.5336000000000001,0.64498,0.23988,0.055460897700000004,0.1003046632,0.0504122277,0.01668,0.7466163972000001,0.7064694094,0.6889289451
945,6345,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,45,-7556.6499023438,28.1946315765,7558.099609375,7528.4584960938,29.6420326233,0.6206,0.611,0.524,0.5138,0.6504,0.23896,0.0426675378,0.1047861119,0.0206537637,0.007560000000000001,0.7167149730000001,0.7095119442000001,0.6926190129
946,6346,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,46,-7560.9838867188,27.8733901978,7562.42578125,7533.1064453125,29.3187541962,0.6169,0.6148,0.4773,0.4802,0.64088,0.22064000000000003,0.0352762685,0.0766545117,0.030297230300000002,0.0132,0.7845650327,0.7064516328,0.689211883
947,6347,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,47,-7555.4375,27.7750053406,7556.896484375,7527.6630859375,29.230594635,0.632,0.6204000000000001,0.5175000000000001,0.513,0.6367,0.21892000000000003,0.0500097085,0.0699068924,0.0445795389,0.011720000000000001,0.7710081686,0.7063775382,0.6895798372
948,6348,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,48,-7556.8491210938,28.1254291534,7558.2827148438,7528.7314453125,29.5422344208,0.6809000000000001,0.6688000000000001,0.5739000000000001,0.5750000000000001,0.6478600000000001,0.24512000000000003,0.06409727400000001,0.1245430604,0.07758168900000001,0.0252,0.7251089608,0.7090945067000001,0.6919961016
949,6349,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,49,-7556.435546875,27.7428188324,7557.8598632812,7528.6879882812,29.1731872559,0.68,0.6814,0.5691,0.5744,0.63948,0.25120000000000003,0.0767133926,0.14519798920000002,0.0667044217,0.03168,0.764603759,0.7025176788,0.6845751297
